MBTI,original_sentence,masked_sentence,
ENTJ,효율적으로 하려면 우선순위를 정해야 해. 다들 동의하지?,효율적으로 하려면 우선순위를 [MASK]야 해. 다들 동의하지?,
ENTP,"이거 새로운 방법인데, 한번 시도해볼까? 재미있을 거 같아.","이거 새로운 방법인데, 한번 [MASK]? 재미있을 거 같아.",
ENTP,너 그 얘기 들었어? 완전 흥미롭던데 같이 얘기해보자.,너 그 얘기 들었어? 완전 흥미롭던데 같이 [MASK].,
ENTP,새로운 아이디어 생각났어. 근데 조금 터무니없을지도 몰라.,새로운 아이디어 생각났어. 근데 조금 [MASK]없을지도 몰라.,
ENTP,뭔가 독특한 걸 해보고 싶어. 다른 사람도 놀랄 만한 거.,뭔가 독특한 걸 해보고 싶어. 다른 사람도 [MASK] 만한 거.,
ENFJ,이번 주말에 봉사활동 같이 갈래? 도울 수 있는 일이 많더라고.,이번 주말에 봉사활동 같이 갈래? 도울 수 있는 일이 [MASK].,
ENFJ,네가 힘들어 보이는 것 같아서 걱정됐어. 괜찮아질 수 있게 도와줄게.,네가 힘들어 보이는 것 같아서 [MASK]. 괜찮아질 수 있게 도와줄게.,
ENFJ,회의 끝나고 피드백 줄게. 네 의견이 너무 인상적이었어.,회의 끝나고 피드백 줄게. 네 의견이 너무 [MASK].,
ENFJ,다들 모이면 분위기 좋잖아. 내가 주선 한번 해볼까?,다들 모이면 [MASK] 좋잖아. 내가 주선 한번 해볼까?,
ENFP,오늘 날씨 너무 좋다. 즉흥적으로 드라이브 갈래?,오늘 날씨 너무 좋다. 즉흥적으로 [MASK] 갈래?,
ENFP,새로 생긴 카페 알아냈어. 거기 가서 수다 떨자.,새로 생긴 카페 알아냈어. 거기 가서 [MASK] 떨자.,
ENFP,이 영화 정말 좋아 보이는데. 지금 당장 보러 갈까?,이 영화 정말 [MASK] 보이는데. 지금 당장 보러 갈까?,
ENFP,다음번엔 해외여행 가자. 이번엔 조금 다른 경험을 하고 싶어.,다음번엔 해외여행 가자. 이번엔 조금 다른 [MASK] 하고 싶어.,
ENTJ,다음 주 회의 안건 미리 공유해줘. 시간 낭비하기 싫어.,다음 주 회의 안건 미리 공유해줘. 시간 [MASK] 하기 싫어.,
ENTJ,효율적으로 끝내려면 각자 역할을 정해야겠어. 의견 좀 줘봐.,효율적으로 끝내려면 각자 역할을 [MASK]야겠어. 의견 좀 줘봐.,
ENTJ,큰 그림을 먼저 정리하자. 디테일은 그다음에 얘기하면 돼.,큰 그림을 먼저 [MASK]. 디테일은 그다음에 얘기하면 돼.,
ENTJ,이건 목표 달성에 꼭 필요해 보여. 바로 실행할 방법을 찾아보자.,이건 목표 달성에 꼭 필요해 [MASK]. 바로 실행할 방법을 찾아보자.,
ENTP,이 아이디어 진짜 기발하지 않아? 더 발전시켜보자.,이 아이디어 진짜 [MASK]하지 않아? 더 발전시켜보자.,
ENTP,"네가 말한 이슈, 다른 관점에서도 한번 생각해봐.","네가 말한 이슈, 다른 [MASK]에서도 한번 생각해봐.",
ENTP,이거 재미있는 논쟁거리가 될 것 같은데? 한번 이야기해볼까?,이거 재미있는 [MASK]가 될 것 같은데? 한번 이야기해볼까?,
ENTP,새로운 기술 나왔대. 우리 같이 한번 테스트해보자.,새로운 기술 나왔대. 우리 같이 한번 [MASK]보자.,
ENFJ,오늘은 기분이 좋아서 친구들한테 먼저 연락했어. 다들 반응이 [따뜻]하더라.,오늘은 기분이 좋아서 친구들한테 먼저 연락했어. 다들 반응이 [MASK]하더라.,
ENFJ,다음 주 모임 준비는 내가 맡을게. 모두가 편하게 [참여]하면 좋겠어.,다음 주 모임 준비는 내가 맡을게. 모두가 편하게 [MASK]하면 좋겠어.,
ENFP,갑자기 여행 가고 싶지 않아? 난 이런 [즉흥]적인 게 너무 좋아.,갑자기 여행 가고 싶지 않아? 난 이런 [MASK]적인 게 너무 좋아.,
ENFP,이번 프로젝트는 조금 색다르게 해보자. 뭔가 [창의]적인 아이디어가 떠오를 것 같아.,이번 프로젝트는 조금 색다르게 해보자. 뭔가 [MASK]적인 아이디어가 떠오를 것 같아.,
ENTJ,지금 이 문제를 빨리 해결해야 할 것 같아. 조금 더 [효율]적으로 접근해보자.,지금 이 문제를 빨리 해결해야 할 것 같아. 조금 더 [MASK]적으로 접근해보자.,
ENTJ,이번 미팅 때 꼭 목표를 명확히 [설정]하자. 그래야 진행이 빨라질 거야.,이번 미팅 때 꼭 목표를 명확히 [MASK]하자. 그래야 진행이 빨라질 거야.,
ENTP,이 아이디어 재밌지 않아? 뭔가 새로운 [도전]이 될 것 같아.,이 아이디어 재밌지 않아? 뭔가 새로운 [MASK]이 될 것 같아.,
ENTP,너랑 토론하면 항상 시간이 빨리 가는 것 같아. 대화가 너무 [재밌]거든.,너랑 토론하면 항상 시간이 빨리 가는 것 같아. 대화가 너무 [MASK]거든.,
ENFJ,이번 이벤트는 네가 주도해 보는 게 어때? 모두 네 리더십을 믿고 있어.,이번 이벤트는 네가 주도해 보는 게 어때? 모두 네 [MASK]을 믿고 있어.,
ENFJ,너 오늘 정말 고생 많았어. 끝나고 같이 커피 마실래?,너 오늘 정말 [MASK] 많았어. 끝나고 같이 커피 마실래?,
ENFJ,팀 전체의 의견을 먼저 들어보자. 그게 더 공정할 거야.,팀 전체의 의견을 먼저 [MASK]. 그게 더 공정할 거야.,
ENFJ,"네가 힘들어 보이는데, 괜찮아? 내가 도울 게 있으면 말해.","네가 힘들어 보이는데, 괜찮아? 내가 [MASK] 게 있으면 말해.",
ENFP,날씨도 좋은데 어디 산책이나 갈래? 갑자기 생각났어.,날씨도 좋은데 어디 산책이나 갈래? 갑자기 [MASK]났어.,
ENFP,이 노래 되게 신난다. 우리 춤출까?,이 노래 되게 신난다. 우리 [MASK]출까?,
ENFP,이거 해보면 재밌을 것 같지 않아? 한번 도전해 보자.,이거 해보면 재밌을 것 같지 않아? 한번 [MASK]해 보자.,
ENFP,너무 고민하지 말고 바로 결정하자. 직감도 중요하잖아.,너무 고민하지 말고 바로 결정하자. [MASK]도 중요하잖아.,
ENTJ,이번 프로젝트에 내가 총괄을 맡을게. 계획부터 세워보자.,이번 프로젝트에 내가 총괄을 맡을게. [MASK]부터 세워보자.,
ENTJ,지금 상황을 정확히 분석해야 해. 그래야 방향이 보이지.,지금 상황을 정확히 [MASK]해야 해. 그래야 방향이 보이지.,
ENTJ,너도 이제 리더십을 발휘해 봐. 나만 믿고 따라와.,너도 이제 리더십을 [MASK] 봐. 나만 믿고 따라와.,
ENTJ,이 정도면 완벽해. 시간 낭비하지 말고 바로 시작하자.,이 정도면 완벽해. 시간 [MASK]하지 말고 바로 시작하자.,
ENTP,어제 본 영화에 대해 토론해 볼까? 각자 의견이 다를 것 같아.,어제 본 영화에 대해 [MASK]해 볼까? 각자 의견이 다를 것 같아.,
ENTP,이 아이디어를 다른 방향으로 바꿔보자. 더 창의적으로.,이 아이디어를 다른 방향으로 [MASK]보자. 더 창의적으로.,
ENTP,너랑 논쟁하는 건 언제나 즐거워. 새로운 관점이 생기거든.,너랑 논쟁하는 건 언제나 즐거워. 새로운 [MASK]이 생기거든.,
ENTP,이건 어떻게 생각해? 재미있게 변화를 줘보자.,이건 어떻게 생각해? 재미있게 [MASK]를 줘보자.,
ENFJ,이 책 추천할게. 너한테 정말 잘 맞을 것 같아.,이 책 [MASK]할게. 너한테 정말 잘 맞을 것 같아.,
ENFJ,오늘 회의 준비 다 했어? 분위기 좀 챙겨야겠더라.,오늘 회의 준비 다 했어? 분위기 좀 [MASK]야겠더라.,
ENFJ,"지금 너무 피곤해 보이는데, 쉬는 게 어때?","지금 너무 [MASK]해 보이는데, 쉬는 게 어때?",
ENFJ,우리 팀 다 같이 저녁 먹으러 가자. 화목해야 일이 잘 되니까.,우리 팀 다 같이 저녁 먹으러 가자. 화목해야 일이 [MASK]니까.,
ENFP,이번 주말에 캠핑 갈래? 난 즉흥적인 게 좋아.,이번 주말에 캠핑 갈래? 난 [MASK]적인 게 좋아.,
ENFP,새로운 아이디어 생각났어! 바로 실행해 볼까?,새로운 아이디어 생각났어! 바로 [MASK]해 볼까?,
ENFP,"여행 계획 짜는 것도 좋지만, 그냥 떠나는 것도 재밌잖아.","여행 계획 짜는 것도 좋지만, 그냥 [MASK]는 것도 재밌잖아.",
ENFP,이번 전시회 가봤어? 색다른 경험이 될 거야.,이번 전시회 가봤어? 색다른 [MASK]이 될 거야.,
ENTJ,이 프로젝트는 이대로 하면 완벽할 거야. 계획대로 가자.,이 프로젝트는 이대로 하면 [MASK]할 거야. 계획대로 가자.,
ENTJ,팀원들 의견은 들어봤어? 그게 중요하다고 생각해.,팀원들 의견은 들어봤어? 그게 [MASK]하다고 생각해.,
ENTJ,새로운 전략이 필요해. 다음 회의 때 제안해 볼게.,새로운 [MASK]이 필요해. 다음 회의 때 제안해 볼게.,
ENTJ,이건 큰 기회야. 지금이 딱 적기라고 봐.,이건 큰 기회야. 지금이 딱 [MASK]라고 봐.,
ENTP,이거 되게 재밌는 주제 아니야? 토론 한 번 해 보자.,이거 되게 재밌는 주제 아니야? [MASK] 한 번 해 보자.,
ENTP,이게 왜 이렇게 돌아가는지 알아? 분석해 보는 것도 재밌겠다.,이게 왜 이렇게 돌아가는지 알아? [MASK]해 보는 것도 재밌겠다.,
ENTP,이번엔 좀 색다르게 접근해 보자. 뻔한 건 재미없어.,이번엔 좀 색다르게 [MASK]해 보자. 뻔한 건 재미없어.,
ENTP,다음엔 내가 이길 거야. 전략 다시 세워야겠어.,다음엔 내가 이길 거야. 전략 다시 [MASK]야겠어.,
ENFJ,오늘 발표 어땠어? 질문이 많아서 조금 긴장했지.,오늘 발표 어땠어? 질문이 많아서 조금 [MASK]했지.,
ENFJ,모두가 참여할 수 있는 아이디어를 생각해볼게.,모두가 참여할 수 있는 아이디어를 [MASK]볼게.,
ENFJ,"너도 잘 알겠지만, 팀워크가 제일 중요해.","너도 잘 알겠지만, 팀워크가 제일 [MASK].",
ENFJ,새로운 프로젝트 맡게 됐어. 다 같이 힘내자!,새로운 프로젝트 맡게 됐어. 다 같이 [MASK]자!,
ENFP,갑자기 여행 가고 싶다. 새로운 곳이 늘 설레잖아.,갑자기 여행 가고 싶다. 새로운 곳이 늘 [MASK]잖아.,
ENFP,네가 추천한 영화 봤어. 진짜 감동적이더라.,네가 추천한 영화 봤어. 진짜 [MASK]더라.,
ENFP,맛집 탐방 갈래? 맛있는 거 먹으러 다니는 게 최고야.,맛집 탐방 갈래? 맛있는 거 먹으러 다니는 게 [MASK]야.,
ENFP,새로운 취미 시작했어. 이번엔 그림 그리기!,새로운 취미 시작했어. 이번엔 [MASK] 그리기!,
ENTJ,이 프로젝트는 내가 리드할게. 의견 모아서 진행하자.,이 프로젝트는 내가 리드할게. 의견 [MASK]서 진행하자.,
ENTJ,일정을 조율해야 할 것 같아. 효율적으로 끝내자.,일정을 조율해야 할 것 같아. [MASK] 끝내자.,
ENTJ,목표는 명확해. 이제 실행에 옮기기만 하면 돼.,목표는 명확해. 이제 [MASK]에 옮기기만 하면 돼.,
ENTJ,팀원들 회의에 집중해줘. 결정할 게 많아.,팀원들 회의에 [MASK]해줘. 결정할 게 많아.,
ENTP,오늘 새로운 아이디어 떠올랐어. 좀 독특할지도 몰라.,오늘 새로운 아이디어 떠올랐어. 좀 [MASK]할지도 몰라.,
ENTP,뭐든 시도해보는 게 재밌지 않아? 실패해도 괜찮아.,뭐든 시도해보는 게 재밌지 않아? [MASK]해도 괜찮아.,
ENTP,그 얘기 정말 흥미로운데? 더 이야기해봐.,그 얘기 정말 [MASK]는데? 더 이야기해봐.,
ENTP,새로운 프로젝트 아이디어 있어. 도전해보자.,새로운 프로젝트 아이디어 있어. [MASK]해보자.,
ENFJ,요즘 많이 바빠 보이네? 잠깐 쉬어가는 것도 중요해.,요즘 많이 바빠 보이네? 잠깐 [MASK] 것도 중요해.,
ENFJ,회의 준비는 다 됐어? 팀원들 의견 정리해 볼게.,회의 준비는 다 됐어? 팀원들 [MASK] 정리해 볼게.,
ENFJ,이번 행사도 성공적으로 끝냈네. 다들 협력 잘했어!,이번 행사도 성공적으로 끝냈네. 다들 협력 [MASK]!,
ENFJ,혹시 어려운 점 있으면 언제든 말해. 도와줄게.,혹시 어려운 점 있으면 언제든 말해. [MASK] 줄게.,
ENFP,이번 주말에 캠핑 갈래? 난 즉흥적인 게 좋아.,이번 주말에 캠핑 갈래? 난 [MASK] 게 좋아.,
ENFP,새로운 책 샀어! 이거 읽어보면 어때?,새로운 책 샀어! 이거 [MASK] 보면 어때?,
ENFP,"갑자기 생각난 건데, 우리 여행 계획 세워볼래?","갑자기 생각난 건데, 우리 여행 계획 [MASK]볼래?",
ENFP,오늘 점심 뭐 먹을지 고민이야. 그냥 즉석에서 정할까?,오늘 점심 뭐 먹을지 고민이야. 그냥 [MASK]에서 정할까?,
ENTJ,"이번 프로젝트, 리더로서 좀 더 주도적으로 할게.","이번 프로젝트, 리더로서 좀 더 [MASK]적으로 할게.",
ENTJ,회의 시간에 효율적으로 진행하자. 목표는 딱 정해져 있어.,회의 시간에 효율적으로 진행하자. 목표는 딱 [MASK] 있어.,
ENTJ,"결과가 중요하니까, 우선순위부터 다시 정리하자.","결과가 중요하니까, [MASK]부터 다시 정리하자.",
ENTJ,이번 기회로 시장 점유율 확실히 늘려보자.,이번 기회로 시장 [MASK] 확실히 늘려보자.,
ENTP,"갑자기 떠오른 아이디어인데, 어때? 바로 실행해볼까?","갑자기 떠오른 아이디어인데, 어때? 바로 [MASK]볼까?",
ENTP,오늘 저녁에 모임 어때? 재밌는 얘기들 많이 준비했어.,오늘 저녁에 모임 어때? 재밌는 얘기들 많이 [MASK]했어.,
ENTP,이런 건 좀 창의적으로 접근해야 더 좋지 않을까?,이런 건 좀 창의적으로 접근해야 더 [MASK] 않을까?,
ENTP,새로운 관점에서 봐야 더 재밌을 것 같아. 의견 줘봐.,새로운 관점에서 봐야 더 재밌을 것 같아. [MASK] 줘봐.,
ENFJ,모임에서 사람들이 조용하면 내가 먼저 분위기를 띄우려고 노력해. 다들 금방 웃으며 대화하더라.,모임에서 사람들이 조용하면 내가 먼저 분위기를 띄우려고 노력해. 다들 금방 [MASK]며 대화하더라.,
ENFJ,친구가 우울해 보이면 밥이라도 같이 먹자고 해. 그런 제안이 서로에게 힘이 되더라고.,친구가 우울해 보이면 밥이라도 같이 먹자고 해. 그런 제안이 서로에게 [MASK]이 되더라고.,
ENFJ,새로운 사람들을 만났을 때 이름을 먼저 물어봐. 그게 대화의 시작이더라고.,새로운 사람들을 만났을 때 이름을 먼저 물어봐. 그게 대화의 [MASK]이더라고.,
ENFJ,사람들 사이에 갈등이 생기면 내가 중간에서 얘기를 조율하려고 해. 다들 이해하면 분위기가 풀리더라.,사람들 사이에 갈등이 생기면 내가 중간에서 얘기를 조율하려고 해. 다들 [MASK]하면 분위기가 풀리더라.,
ENFP,즉흥적으로 공원을 갔는데 예상치 못한 풍경을 봤어. 그런 순간이 참 소중하더라.,즉흥적으로 공원을 갔는데 예상치 못한 풍경을 봤어. 그런 순간이 참 [MASK]더라.,
ENFP,새로운 곳에서 시간을 보낼 때마다 설레. 그런 경험이 나를 진짜로 살아있게 만들어.,새로운 곳에서 시간을 보낼 때마다 설레. 그런 경험이 나를 진짜로 [MASK]게 만들어.,
ENFP,친구들과 이야기하다가 재미있는 아이디어를 떠올렸어. 그런 순간이 나한테는 진짜 특별해.,친구들과 이야기하다가 재미있는 아이디어를 떠올렸어. 그런 순간이 나한테는 진짜 [MASK]해.,
ENFP,다양한 도전을 통해 새로운 걸 배워가는 게 좋아. 그런 순간이 나를 더 단단하게 만들어.,다양한 도전을 통해 새로운 걸 배워가는 게 좋아. 그런 순간이 나를 더 [MASK]하게 만들어.,
ENTJ,목표를 달성하려면 실행 계획이 필요해. 그런 준비가 성공의 기본이더라고.,목표를 달성하려면 실행 계획이 필요해. 그런 준비가 성공의 [MASK]이더라고.,
ENTJ,효율적으로 일하려면 시간을 잘 나눠야 해. 그렇게 하면 스트레스도 덜하더라고.,효율적으로 일하려면 시간을 잘 나눠야 해. 그렇게 하면 스트레스도 [MASK]하더라고.,
ENTJ,팀원들이 맡은 역할을 제대로 해낼 때 진짜 뿌듯해. 그런 순간이 리더로서 자부심이야.,팀원들이 맡은 역할을 제대로 해낼 때 진짜 뿌듯해. 그런 순간이 리더로서 [MASK]이야.,
ENTJ,어려운 상황에서도 항상 해결책을 고민해. 그런 태도가 결과를 더 나아지게 만들더라고.,어려운 상황에서도 항상 해결책을 고민해. 그런 태도가 결과를 더 [MASK]게 만들더라고.,
ENTP,사람들과 끝없이 토론하다 보면 전혀 새로운 아이디어가 나올 때가 있어. 그런 순간이 제일 신나.,사람들과 끝없이 토론하다 보면 전혀 새로운 아이디어가 나올 때가 있어. 그런 순간이 제일 [MASK]나.,
ENTP,즉흥적으로 떠오른 질문으로 대화가 예상치 못한 방향으로 흘러갈 때가 있어. 그런 순간이 참 재밌어.,즉흥적으로 떠오른 질문으로 대화가 예상치 못한 방향으로 흘러갈 때가 있어. 그런 순간이 참 [MASK]어.,
ENTP,문제를 새로운 방식으로 접근해보면 항상 예상 못 한 답이 나올 때가 있어. 그런 도전이 흥미롭지.,문제를 새로운 방식으로 접근해보면 항상 예상 못 한 답이 나올 때가 있어. 그런 도전이 [MASK]지.,
ENTP,다양한 의견을 모아서 창의적인 해결책을 만드는 게 좋아. 그런 과정이 나를 자극하거든.,다양한 의견을 모아서 창의적인 해결책을 만드는 게 좋아. 그런 과정이 나를 [MASK]하거든.,
ENFJ,요즘 팀워크가 잘 맞아. 이런 조화가 진짜 좋은 결과를 만들어.,요즘 팀워크가 잘 맞아. 이런 조화가 진짜 좋은 [MASK]를 만들어.,
ENFJ,친구 고민을 들어줬더니 고맙다고 하더라. 이런 배려가 관계를 더 깊게 만들어.,친구 고민을 들어줬더니 고맙다고 하더라. 이런 배려가 관계를 더 [MASK]게 만들어.,
ENFJ,다 같이 점심 먹고 소통하니까 분위기가 좋아졌어. 이런 대화가 팀을 더 단단하게 해줘.,다 같이 점심 먹고 소통하니까 분위기가 좋아졌어. 이런 대화가 팀을 더 [MASK]하게 해줘.,
ENFJ,회의 전에 팀원들 의견을 먼저 물어봤어. 이런 준비가 효율을 높여줘.,회의 전에 팀원들 의견을 먼저 물어봤어. 이런 준비가 효율을 [MASK]줘.,
ENFP,갑자기 공원 산책 갔는데 너무 좋았어. 이런 즉흥적인 게 진짜 힐링이더라.,갑자기 공원 산책 갔는데 너무 좋았어. 이런 즉흥적인 게 진짜 [MASK]더라.,
ENFP,어제 친구들이랑 맛집 투어했어. 이런 활발한 계획이 너무 즐겁더라.,어제 친구들이랑 맛집 투어했어. 이런 활발한 계획이 너무 [MASK]더라.,
ENFP,영화 보고 즉흥적으로 카페도 갔어. 이런 자유로운 하루가 정말 좋아.,영화 보고 즉흥적으로 카페도 갔어. 이런 자유로운 하루가 정말 [MASK].,
ENFP,갑자기 노래방 갔는데 완전 신났어. 이런 에너지가 나한테 딱 맞아.,갑자기 노래방 갔는데 완전 신났어. 이런 에너지가 나한테 딱 [MASK].,
ENTJ,목표를 세우고 바로 실행했어. 이런 빠른 진행이 좋더라.,목표를 세우고 바로 실행했어. 이런 빠른 진행이 [MASK]더라.,
ENTJ,팀 역할을 나누고 진행 상황을 점검했어. 이런 체계가 정말 중요해.,팀 역할을 나누고 진행 상황을 점검했어. 이런 체계가 정말 [MASK].,
ENTJ,문제를 빠르게 분석하고 해결책을 찾았어. 이런 접근이 성과를 높여줘.,문제를 빠르게 분석하고 해결책을 찾았어. 이런 접근이 성과를 [MASK]줘.,
ENTJ,계획적으로 일을 나누니까 훨씬 효율적이더라. 이런 방식이 시간도 절약해.,계획적으로 일을 나누니까 훨씬 효율적이더라. 이런 방식이 시간을 [MASK].,
ENTP,친구랑 즉흥적으로 토론을 시작했어. 이런 대화가 늘 흥미로워.,친구랑 즉흥적으로 토론을 시작했어. 이런 대화가 늘 [MASK].,
ENTP,갑자기 새로운 아이디어가 떠올라서 바로 실행했어. 이런 도전이 진짜 재밌어.,갑자기 새로운 아이디어가 떠올라서 바로 실행했어. 이런 도전이 진짜 [MASK].,
ENTP,모르는 주제에 대해 친구들과 얘기하다가 많이 배웠어. 이런 호기심이 나를 움직이게 해.,모르는 주제에 대해 친구들과 얘기하다가 많이 배웠어. 이런 호기심이 나를 [MASK]게 해.,
ENTP,즉석에서 나온 농담이 모두를 웃게 만들었어. 이런 유머가 대화를 더 즐겁게 해.,즉석에서 나온 농담이 모두를 웃게 만들었어. 이런 유머가 대화를 더 [MASK]게 해.,
ENFJ,오늘 다 같이 청소했더니 분위기가 더 좋아졌어. 이런 협동이 진짜 중요한 것 같아.,오늘 다 같이 청소했더니 분위기가 더 좋아졌어. 이런 협동이 진짜 [MASK] 것 같아.,
